table,record_id,change_kind,changed_fields,before_json,after_json
affiliations.csv,affiliation-034b56f974be,updated,evidence_ids;decision_ids,"{""affiliation_id"": ""affiliation-034b56f974be"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""evidence_supported"", ""decision_ids"": ""PERSON-CONTINUITY-REVIEW;R17"", ""end_exclusive"": ""2022-03-31"", ""evidence_ids"": ""AFF-013;AFF-014;AFF-015;AFF-055;AFF-056;BOL-E01;BOL-E02;BOL-E18"", ""party_id"": ""REPUBLICANOS"", ""person_id"": ""person-87ad75f8d2f9"", ""start_inclusive"": ""2022-03-28"", ""state"": ""PARTY"", ""support"": ""dated assertion plus targeted-search continuity""}","{""affiliation_id"": ""affiliation-034b56f974be"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""evidence_supported"", ""decision_ids"": ""PERSON-CONTINUITY-REVIEW;R17;V5W6D02"", ""end_exclusive"": ""2022-03-31"", ""evidence_ids"": ""AFF-013;AFF-014;AFF-015;AFF-055;AFF-056;BOL-E01;BOL-E02;BOL-E18;V5W6E03;V5W6E07;V5W6E09;V5W6E10"", ""party_id"": ""REPUBLICANOS"", ""person_id"": ""person-87ad75f8d2f9"", ""start_inclusive"": ""2022-03-28"", ""state"": ""PARTY"", ""support"": ""dated assertion plus targeted-search continuity""}"
affiliations.csv,affiliation-22af2be40aed,updated,evidence_ids;decision_ids,"{""affiliation_id"": ""affiliation-22af2be40aed"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""evidence_supported"", ""decision_ids"": ""PERSON-CONTINUITY-REVIEW;R16"", ""end_exclusive"": ""2022-03-31"", ""evidence_ids"": ""AFF-024;AFF-025;BOL-E12;BOL-E13"", ""party_id"": ""PL"", ""person_id"": ""person-20d6d1c35408"", ""start_inclusive"": ""2021-11-30"", ""state"": ""PARTY"", ""support"": ""dated assertion plus targeted-search continuity""}","{""affiliation_id"": ""affiliation-22af2be40aed"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""evidence_supported"", ""decision_ids"": ""PERSON-CONTINUITY-REVIEW;R16;V5W6D03"", ""end_exclusive"": ""2022-03-31"", ""evidence_ids"": ""AFF-024;AFF-025;BOL-E12;BOL-E13;V5W6E04;V5W6E05;V5W6E06;V5W6E08;V5W6E09;V5W6E10"", ""party_id"": ""PL"", ""person_id"": ""person-20d6d1c35408"", ""start_inclusive"": ""2021-11-30"", ""state"": ""PARTY"", ""support"": ""dated assertion plus targeted-search continuity""}"
affiliations.csv,affiliation-49705e8c67b1,updated,support;date_status;evidence_ids;decision_ids,"{""affiliation_id"": ""affiliation-49705e8c67b1"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""unidentified"", ""decision_ids"": ""PERSON-CONTINUITY-REVIEW"", ""end_exclusive"": ""2023-01-01"", ""evidence_ids"": """", ""party_id"": """", ""person_id"": ""person-561613fe4a6e"", ""start_inclusive"": ""2022-12-21"", ""state"": ""UNKNOWN"", ""support"": ""no_supported_prior_observation""}","{""affiliation_id"": ""affiliation-49705e8c67b1"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""unresolved_personal_affiliation"", ""decision_ids"": ""PERSON-CONTINUITY-REVIEW;V5W5D003"", ""end_exclusive"": ""2023-01-01"", ""evidence_ids"": ""V5W5E003"", ""party_id"": """", ""person_id"": ""person-561613fe4a6e"", ""start_inclusive"": ""2022-12-21"", ""state"": ""UNKNOWN"", ""support"": ""Telebras 57th eligibility committee minutes of February 11 2022 review her Form C signed December 14 2021 and state that requirements/impediments were answered yes/no. Those are fiscal-council eligibility assertions, not an explicit personal non-affiliation declaration. The original proposal and 283rd board assessment address credentials and eligibility. No named personal party or universal non-affiliation observation is established. Prior PSD byline, Fabio Faria employment, and scoped registry non-matches remain insufficient; retain UNKNOWN.""}"
affiliations.csv,affiliation-55eb812b0488,updated,support;date_earliest;evidence_ids;decision_ids,"{""affiliation_id"": ""affiliation-55eb812b0488"", ""alternatives"": ""[\""PSDB\"", \""UNAFFILIATED\""]"", ""date_earliest"": ""2020-02-12"", ""date_latest"": ""2020-06-18"", ""date_status"": ""bounded_date_convention"", ""decision_ids"": ""PERSON-CONTINUITY-REVIEW;R16"", ""end_exclusive"": ""2021-11-30"", ""evidence_ids"": ""AFF-024;AFF-025;BOL-E12;BOL-E13"", ""party_id"": """", ""person_id"": ""person-20d6d1c35408"", ""start_inclusive"": ""2020-06-18"", ""state"": ""UNAFFILIATED"", ""support"": ""dated assertion plus targeted-search continuity""}","{""affiliation_id"": ""affiliation-55eb812b0488"", ""alternatives"": ""[\""PSDB\"", \""UNAFFILIATED\""]"", ""date_earliest"": ""2020-06-16"", ""date_latest"": ""2020-06-18"", ""date_status"": ""bounded_date_convention"", ""decision_ids"": ""PERSON-CONTINUITY-REVIEW;R16;V5W6D03"", ""end_exclusive"": ""2021-11-30"", ""evidence_ids"": ""AFF-024;AFF-025;BOL-E12;BOL-E13;V5W6E04;V5W6E05;V5W6E06;V5W6E08;V5W6E09;V5W6E10"", ""party_id"": """", ""person_id"": ""person-20d6d1c35408"", ""start_inclusive"": ""2020-06-18"", ""state"": ""UNAFFILIATED"", ""support"": ""contemporary_positive_and_completed_departure_observations_with_narrowed_date_bounds""}"
affiliations.csv,affiliation-66214824b17e,updated,support;date_status;alternatives;evidence_ids;decision_ids,"{""affiliation_id"": ""affiliation-66214824b17e"", ""alternatives"": ""[\""UNIAO\"",\""UNAFFILIATED\""]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""adjudicated_continuity"", ""decision_ids"": ""C061;PERSON-CONTINUITY-REVIEW;R26"", ""end_exclusive"": ""2023-01-01"", ""evidence_ids"": ""AFF-044;BOL-E07;BOL-E08;C061;LEG-5b2c802041f5"", ""party_id"": ""UNIAO"", ""person_id"": ""person-1c11e767f427"", ""start_inclusive"": ""2022-05-11"", ""state"": ""PARTY"", ""support"": ""adjudicated_positive_membership_continuity_with_conflicting_historical_nonaffiliation_assertions""}","{""affiliation_id"": ""affiliation-66214824b17e"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""evidence_supported"", ""decision_ids"": ""C061;PERSON-CONTINUITY-REVIEW;R26;V5W6D01"", ""end_exclusive"": ""2023-01-01"", ""evidence_ids"": ""AFF-044;BOL-E07;BOL-E08;C061;LEG-5b2c802041f5;V5W6E01;V5W6E02"", ""party_id"": ""UNIAO"", ""person_id"": ""person-1c11e767f427"", ""start_inclusive"": ""2022-05-11"", ""state"": ""PARTY"", ""support"": ""official_registry_historical_membership_exact_identity_and_documented_merger_continuity""}"
affiliations.csv,affiliation-92b6d60a8748,updated,support;date_earliest;evidence_ids;decision_ids,"{""affiliation_id"": ""affiliation-92b6d60a8748"", ""alternatives"": ""[\""PSDB\"", \""UNAFFILIATED\""]"", ""date_earliest"": ""2020-02-12"", ""date_latest"": ""2020-06-18"", ""date_status"": ""bounded_date_convention"", ""decision_ids"": ""PERSON-CONTINUITY-REVIEW;R16"", ""end_exclusive"": ""2020-06-18"", ""evidence_ids"": ""AFF-024;AFF-025;BOL-E12;BOL-E13"", ""party_id"": ""PSDB"", ""person_id"": ""person-20d6d1c35408"", ""start_inclusive"": ""2020-02-11"", ""state"": ""PARTY"", ""support"": ""dated assertion plus targeted-search continuity""}","{""affiliation_id"": ""affiliation-92b6d60a8748"", ""alternatives"": ""[\""PSDB\"", \""UNAFFILIATED\""]"", ""date_earliest"": ""2020-06-16"", ""date_latest"": ""2020-06-18"", ""date_status"": ""bounded_date_convention"", ""decision_ids"": ""PERSON-CONTINUITY-REVIEW;R16;V5W6D03"", ""end_exclusive"": ""2020-06-18"", ""evidence_ids"": ""AFF-024;AFF-025;BOL-E12;BOL-E13;V5W6E04;V5W6E05;V5W6E06;V5W6E08;V5W6E09;V5W6E10"", ""party_id"": ""PSDB"", ""person_id"": ""person-20d6d1c35408"", ""start_inclusive"": ""2020-02-11"", ""state"": ""PARTY"", ""support"": ""contemporary_positive_and_completed_departure_observations_with_narrowed_date_bounds""}"
affiliations.csv,affiliation-C034-carlos-henrique-menezes-sobral-2018-12-31,updated,support;evidence_ids;decision_ids,"{""affiliation_id"": ""affiliation-C034-carlos-henrique-menezes-sobral-2018-12-31"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""unresolved_personal_affiliation"", ""decision_ids"": ""C034"", ""end_exclusive"": ""2019-01-01"", ""evidence_ids"": ""C034"", ""party_id"": """", ""person_id"": ""person-carlos-henrique-menezes-sobral"", ""start_inclusive"": ""2018-12-31"", ""state"": ""UNKNOWN"", ""support"": ""Substantive searches did not establish temporally relevant personal affiliation; employer and nomination are not personal affiliation""}","{""affiliation_id"": ""affiliation-C034-carlos-henrique-menezes-sobral-2018-12-31"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""unresolved_personal_affiliation"", ""decision_ids"": ""C034;V5W2D001"", ""end_exclusive"": ""2019-01-01"", ""evidence_ids"": ""C034;V5W2E001;V5W2E002"", ""party_id"": """", ""person_id"": ""person-carlos-henrique-menezes-sobral"", ""start_inclusive"": ""2018-12-31"", ""state"": ""UNKNOWN"", ""support"": ""Personal affiliation remains unresolved after dated SGIP3 governance and new scoped Filia geography/identity checks; partial-registry negatives and later MDB labels cannot determine December31 2018 affiliation""}"
affiliations.csv,affiliation-C035-ivani-dos-santos-2016-11-25,updated,support;evidence_ids;decision_ids,"{""affiliation_id"": ""affiliation-C035-ivani-dos-santos-2016-11-25"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""unresolved_personal_affiliation"", ""decision_ids"": ""C035"", ""end_exclusive"": ""2017-02-03"", ""evidence_ids"": ""C035"", ""party_id"": """", ""person_id"": ""person-ivani-dos-santos"", ""start_inclusive"": ""2016-11-25"", ""state"": ""UNKNOWN"", ""support"": ""Substantive searches did not establish temporally relevant personal affiliation; employer and nomination are not personal affiliation""}","{""affiliation_id"": ""affiliation-C035-ivani-dos-santos-2016-11-25"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""unresolved_personal_affiliation"", ""decision_ids"": ""C035;V5W1D001"", ""end_exclusive"": ""2017-02-03"", ""evidence_ids"": ""C035;V5W1E001;V5W1E002;V5W1E003"", ""party_id"": """", ""person_id"": ""person-ivani-dos-santos"", ""start_inclusive"": ""2016-11-25"", ""state"": ""UNKNOWN"", ""support"": ""Personal affiliation remains unresolved after historical SGIP3 governing-body screening and new firsthand-biography/registry-semantics review. Governing-body non-hits, partial registry absence and PMDB employment do not establish non-affiliation or exhaust the alternatives.""}"
affiliations.csv,affiliation-C035-ivani-dos-santos-2017-08-02-2017-08-02,updated,support;evidence_ids;decision_ids,"{""affiliation_id"": ""affiliation-C035-ivani-dos-santos-2017-08-02-2017-08-02"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""unresolved_personal_affiliation"", ""decision_ids"": ""C035"", ""end_exclusive"": ""2017-08-03"", ""evidence_ids"": ""C035"", ""party_id"": """", ""person_id"": ""person-ivani-dos-santos"", ""start_inclusive"": ""2017-08-02"", ""state"": ""UNKNOWN"", ""support"": ""Substantive searches did not establish temporally relevant personal affiliation; employer and nomination are not personal affiliation""}","{""affiliation_id"": ""affiliation-C035-ivani-dos-santos-2017-08-02-2017-08-02"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""unresolved_personal_affiliation"", ""decision_ids"": ""C035;V5W1D001"", ""end_exclusive"": ""2017-08-03"", ""evidence_ids"": ""C035;V5W1E001;V5W1E002;V5W1E003"", ""party_id"": """", ""person_id"": ""person-ivani-dos-santos"", ""start_inclusive"": ""2017-08-02"", ""state"": ""UNKNOWN"", ""support"": ""Personal affiliation remains unresolved after historical SGIP3 governing-body screening and new firsthand-biography/registry-semantics review. Governing-body non-hits, partial registry absence and PMDB employment do not establish non-affiliation or exhaust the alternatives.""}"
affiliations.csv,affiliation-C035-ivani-dos-santos-2017-10-20-2017-10-20,updated,support;evidence_ids;decision_ids,"{""affiliation_id"": ""affiliation-C035-ivani-dos-santos-2017-10-20-2017-10-20"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""unresolved_personal_affiliation"", ""decision_ids"": ""C035"", ""end_exclusive"": ""2017-10-26"", ""evidence_ids"": ""C035"", ""party_id"": """", ""person_id"": ""person-ivani-dos-santos"", ""start_inclusive"": ""2017-10-20"", ""state"": ""UNKNOWN"", ""support"": ""Substantive searches did not establish temporally relevant personal affiliation; employer and nomination are not personal affiliation""}","{""affiliation_id"": ""affiliation-C035-ivani-dos-santos-2017-10-20-2017-10-20"", ""alternatives"": ""[]"", ""date_earliest"": """", ""date_latest"": """", ""date_status"": ""unresolved_personal_affiliation"", ""decision_ids"": ""C035;V5W1D001"", ""end_exclusive"": ""2017-10-26"", ""evidence_ids"": ""C035;V5W1E001;V5W1E002;V5W1E003"", ""party_id"": """", ""person_id"": ""person-ivani-dos-santos"", ""start_inclusive"": ""2017-10-20"", ""state"": ""UNKNOWN"", ""support"": ""Personal affiliation remains unresolved after historical SGIP3 governing-body screening and new firsthand-biography/registry-semantics review. Governing-body non-hits, partial registry absence and PMDB employment do not establish non-affiliation or exhaust the alternatives.""}"
