discrepancy_id,source_record_ids,person,office,government,affected_interval,existing_assignment,appointment_time_assignment,proposed_contemporaneous_treatment,assertion_ids,problem_type,composition_effect,composition_effect_explanation,uncertainty,whole_cabinet_set_certified,coverage_start,observation_cutoff,related_occupancy_assertion
AFF-D01,michel_temer:0:61,Maurício Quintella Lessa,"Transportes, Portos e Aviação Civil",temer,2016-05-12 to actual departure,michel_temer:0:61=,michel_temer:0:61=PARTY:PR,"PR at entry and forward persistence; later PL is same organization, not a retrospective switch.",AFF-007|AFF-008,factual_affiliation;temporal_rule,possible,Restores a PR witness omitted by legacy harmonization. Whether aggregate gains PR requires other PR officeholders and dates; not certified here.,none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
AFF-D02,michel_temer:0:59,Helton Yomura,Trabalho,temer,actual vacancy/acting service in 2018,michel_temer:0:59=,michel_temer:0:59=PARTY:PTB,PTB from historical membership evidence; count only actual qualifying vacancy service under acting rule.,AFF-009,factual_affiliation;occupancy,possible,May maintain PTB after Ronaldo Nogueira. Office capacity and actual start unresolved independently of affiliation.,none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
AFF-D03,jair_bolsonaro:0:17,Augusto Heleno,Gabinete de Segurança Institucional,bolsonaro,2019-01-01 through actual departure,jair_bolsonaro:0:17=Patriota,jair_bolsonaro:0:17=UNAFFILIATED:,Incoming no-party evidence plus persistence; later Patriota/PRD claims unresolved without dated rejoining event.,AFF-010|AFF-011,factual_affiliation;temporal_rule,possible,"Old Patriota contribution unsupported; if other qualifying Patriota members absent, composition changes. No full absence census certified.",conflicting_history;possibilities_unspecified_if_rejoining_cannot_be_resolved,false,2015-01-01,2026-03-19,
AFF-D04,jair_bolsonaro:0:8,Marcos Pontes,"Ministério da Ciência, Tecnologia e Inovações",bolsonaro,2019-01-01 to 2022-03-31 source endpoint,jair_bolsonaro:0:8=PL,jair_bolsonaro:0:8=PARTY:PSL,PSL to União 2022-02-08 to PL 2022-03-27; exact last officeholding day separately audited.,AFF-012|AFF-044,factual_affiliation;party_identity;temporal_rule,possible,Personal witness changes certainly under event evidence; aggregate change depends on Tereza Cristina/Onyx and any other União witnesses.,none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
AFF-D05,jair_bolsonaro:0:63,Damares Alves,"Ministério da Mulher, da Família e dos Direitos Humanos",bolsonaro,2019-01-01 to actual 2022 departure,jair_bolsonaro:0:63=UNRESOLVED (contributed no party),jair_bolsonaro:0:63=PARTY:PP,PP at entry; departure uncertain after 2020-08-26 and by 2022-01-20; then no party by observation and Republicanos from 2022-03-28.,AFF-013|AFF-014|AFF-015|AFF-055|AFF-056,factual_affiliation;temporal_rule,possible,"Possible PP exit before Ciro Nogueira entered Casa Civil in 2021; after independent PP witness begins, PP/no-party uncertainty may not affect aggregate. Republicanos changes must be checked with João Roma/Tarcísio.",bounded_transition_with_conflicting_year;conditional_finite_PP_or_unaffiliated_states;no_certified_full_set,false,2015-01-01,2026-03-19,
AFF-D06,jair_bolsonaro:0:49,Tarcísio de Freitas,Ministério da Infraestrutura,bolsonaro,2019-01-01 to actual 2022 departure,jair_bolsonaro:0:49=Republicanos,jair_bolsonaro:0:49=UNAFFILIATED:,No party until Republicanos on 2022-03-28; do not use entry-only coding after switch.,AFF-015|AFF-016,factual_affiliation;temporal_rule,possible,"May restore Republicanos after João Roma left March 27; Damares joined same day, so one of these departures alone cannot remove it.",none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
AFF-D07,jair_bolsonaro:0:14,Anderson Torres,Ministério da Justiça e Segurança Pública,bolsonaro,actual 2021 entry through 2022 departure,jair_bolsonaro:0:14=PSL,jair_bolsonaro:0:14=UNAFFILIATED:,Proposed no party from dated denial and retrospective never-affiliated statement; preserve contradictory PSL claims.,AFF-017|AFF-018|AFF-019|AFF-056,factual_affiliation;temporal_rule,possible,Removes unsupported PSL/União witness. It does not establish absence of those parties through other ministers.,contradictory_reports_resolved_provisionally_by_specific_denial;certificate_pending,false,2015-01-01,2026-03-19,
AFF-D08,jair_bolsonaro:0:65,Ricardo Salles,Ministério do Meio Ambiente,bolsonaro,2019-01-01 to actual 2021 departure,jair_bolsonaro:0:65=NOVO,jair_bolsonaro:0:65=PARTY:NOVO,"NOVO at entry; explicit suspended affiliation October 31, 2019; appealable expulsion reported May 7, 2020. Resolve legal effects before output after suspension.",AFF-020|AFF-021|AFF-022|AFF-023|AFF-054,factual_affiliation;temporal_rule;missing_evidence,possible,Likely sole NOVO witness in inventory; unresolved suspension/cancellation date therefore can alter aggregate and create an unknown internal boundary.,formal_status_effect_unresolved;bounded_NOVO_or_no_party_model_conditional_on_no_other_switch,false,2015-01-01,2026-03-19,
AFF-D09,jair_bolsonaro:0:52,Rogério Marinho,Ministério do Desenvolvimento Regional,bolsonaro,2020-02-11 to actual 2022 departure,jair_bolsonaro:0:52=PSDB,jair_bolsonaro:0:52=PARTY:PSDB,"PSDB at entry; departure occurred before June 19, 2020 at unresolved day; no-party observation followed; PL from November 30, 2021.",AFF-024|AFF-025,factual_affiliation;temporal_rule,possible,"Inventory suggests last PSDB witness, so uncertain departure affects composition; later PL may duplicate Flávia Arruda. Her exact entry is independently disputed.",bounded_transition_day;conflicting_retrospective_month,false,2015-01-01,2026-03-19,
AFF-D10,jair_bolsonaro:0:10,Fábio Faria,Ministério das Comunicações,bolsonaro,2020-06-17 to actual 2022 departure,jair_bolsonaro:0:10=PSD,jair_bolsonaro:0:10=PARTY:PSD,PSD until PP switch on 2022-03-24; no election-year freeze.,AFF-026,factual_affiliation;temporal_rule,possible,Potential last PSD witness before subsequent ministers; PP already has Ciro Nogueira under prior entry evidence. Verify their service/affiliation spans.,none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
