assertion_id,entity,fact_asserted,relevant_date_or_interval,source_url,document_identifier,publisher,publication_date,retrieval_date,locator,supporting_paraphrase,support_type,conflicting_evidence,proposed_resolution,access_status
OFF-001,Cabinet scope,Existing analysis starts 2015-01-01; source snapshot ends 2026-03-19 inclusive.,2015-01-01/2026-03-20,scraping/data/cabinet_source_snapshot.json; scraping/reconstruct_cabinet_timeline.py,"pinned revisions 71552388,71604023,71536920,71991733",Local research project,2026-08-28,2026-09-10,source_as_of; ANALYSIS_START; GOVERNMENT_WINDOWS,Existing analysis starts 2015-01-01; source snapshot ends 2026-03-19 inclusive.,direct,,,opened_or_indexed_primary_source
OFF-002,Pinned inventory,"Four relevant pinned cabinet tables contain 273 person rows after removing 3 structural rows; 257 included keys plus 16 omitted person rows. This is a source inventory, not certified officeholding census.",2015-01-01/2026-03-20,scraping/data/wikipedia_pinned/,276 rows including3 headers,Local scratch inspection of pinned Wikimedia tables,,2026-09-10,pinned_source_rows.csv; inventory_scratch.py,"Four relevant pinned cabinet tables contain 273 person rows after removing 3 structural rows; 257 included keys plus 16 omitted person rows. This is a source inventory, not certified officeholding census.",direct_local_diagnostic,,,opened_or_indexed_primary_source
OFF-003,Office selection,load_allowed_roles reads an undated serialized Wikipedia-derived list; extract_records silently skips unmatched labels. No legal status date gates exist.,2015-01-01/2026-03-20,scraping/reconstruct_cabinet_timeline.py,,Local research project,,2026-09-10,load_allowed_roles lines164-176; extract_records lines719-823; classify_status_type lines208-220,load_allowed_roles reads an undated serialized Wikipedia-derived list; extract_records silently skips unmatched labels. No legal status date gates exist.,direct_code_inspection,,,opened_or_indexed_primary_source
OFF-004,Initial Dilma offices,"Article25 enumerates ministries and extends Minister of State treatment to named presidential offices, AGU and BCB; historical amendments must be selected as of January2015 rather than reading latest strikethrough text.",2015-01-01,https://www.planalto.gov.br/ccivil_03/leis/2003/l10.683.htm,Lei10.683/2003,Presidência da República,2003-05-29,2026-09-10,Art25 and relevant amendments through2014,"Article25 enumerates ministries and extends Minister of State treatment to named presidential offices, AGU and BCB; historical amendments must be selected as of January2015 rather than reading latest strikethrough text.",direct_status_with_version_audit_needed,,,opened_or_indexed_primary_source
OFF-005,October2015 restructuring,MP696 abolishes ministerial posts and transforms others. Cargo transformations/extinctions take immediate effect on publication 2015-10-05; changes to organ structures await respective regimental decrees.,2015-10-05,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/mpv/mpv696.htm,MP696/2015,Presidência da República,2015-10-05,2026-09-10,"Arts1,3,9; DOU footer",MP696 abolishes ministerial posts and transforms others. Cargo transformations/extinctions take immediate effect on publication 2015-10-05; changes to organ structures await respective regimental decrees.,direct,Pinned rows use2015-10-02 announcement/signature date.,"Use2015-10-05 for statutory cargo changes; inspect each officeholding act separately, not blanket replacement.",opened_or_indexed_primary_source
OFF-006,October2015 office labels,Previdência cargo transforms to Trabalho e Previdência; Secretaria-Geral cargo to Secretaria de Governo; Direitos Humanos cargo to Mulheres/Igualdade Racial/Direitos Humanos.,2015-10-05,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/mpv/mpv696.htm,MP696/2015,Presidência da República,2015-10-05,2026-09-10,"Art3 I,II,IV",Previdência cargo transforms to Trabalho e Previdência; Secretaria-Geral cargo to Secretaria de Governo; Direitos Humanos cargo to Mulheres/Igualdade Racial/Direitos Humanos.,direct,"Miguel Rossetto, Ricardo Berzoini, Nilma Gomes retained under old names.",Dated office identity/status spell change; underlying persons are not missing.,opened_or_indexed_primary_source
OFF-007,Dilma reshuffle,Ceremony for ten reshuffled ministers scheduled for2015-10-05; source dates2015-10-02 therefore cannot automatically establish actual service.,2015-10-02/2015-10-05,https://legis.senado.leg.br/escriba-servicosweb/sessao/pdf/3585,Sessão2015-10-05,Senado Federal,2015-10-05,2026-09-10,Plenary speech identifying ceremony later that day,Ceremony for ten reshuffled ministers scheduled for2015-10-05; source dates2015-10-02 therefore cannot automatically establish actual service.,direct_for_announcement_not_service,,,opened_or_indexed_primary_source
OFF-008,Gabinete Pessoal,"Natureza Especial personal cabinet chief becomes a Minister of State post, immediately on extra-edition publication2016-03-16.",2016-03-16/2016-05-12,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/mpv/mpv717.htm,MP717/2016,Presidência da República,2016-03-16,2026-09-10,"Arts1,5; DOU footer","Natureza Especial personal cabinet chief becomes a Minister of State post, immediately on extra-edition publication2016-03-16.",direct,,,opened_or_indexed_primary_source
OFF-009,Jaques Wagner; Wellington2016,CJF official DOU digest records Jaques Wagner appointment to Gabinete Pessoal and Wellington César dismissal from Justice.,2016-03-17,https://www.cjf.jus.br/cjf/noticias/2016-1/marco/douinforme-17-03-1.2016,DOUInforme17.03.2016,Conselho da Justiça Federal,2016-03-17,2026-09-10,Atos do Poder Executivo; nomeação/exoneração items,CJF official DOU digest records Jaques Wagner appointment to Gabinete Pessoal and Wellington César dismissal from Justice.,direct,Wagner absent qualifying inventory; Wellington excluded wholesale as suspended.,Add Wagner candidate spell and retain Wellington entry; effective endpoints require underlying decree/judgment.,opened_or_indexed_primary_source
OFF-010,Wellington César2016,"AMB president attended March3 transmission ceremony for new Justice minister; this establishes actual entry, unlike Decotelli.",2016-03-03,https://www.amb.com.br/ministro-wellington-cesar-toma-posse-como-novo-ministro-da-justica/,AMB contemporaneous institutional account,Associação dos Magistrados Brasileiros,2016-03-03,2026-09-10,Opening paragraph,"AMB president attended March3 transmission ceremony for new Justice minister; this establishes actual entry, unlike Decotelli.",direct,,,opened_or_indexed_primary_source
OFF-011,Wellington César2016,Reuters reports March9 STF decision requiring choice between MP career and ministerial office; a later judicial problem is not proof no initial service occurred.,2016-03-09,https://noticias.uol.com.br/ultimas-noticias/reuters/2016/03/09/wellington-cesar-tera-de-deixar-mp-caso-queira-ser-ministro-da-justica-decide-stf.htm,,Reuters/UOL,2016-03-09,2026-09-10,Decision and government response paragraphs,Reuters reports March9 STF decision requiring choice between MP career and ministerial office; a later judicial problem is not proof no initial service occurred.,direct,,Retain brief spell and legal-contestation flags; inspect judgment effective relief and dismissal timing before precise end.,opened_or_indexed_primary_source
OFF-012,Temer offices,"MP726 takes effect2016-05-12, immediately for cargo transformations/extinctions; organ structure changes have separate effective clauses. Revokes MP717.",2016-05-12,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/mpv/mpv726.htm,MP726/2016,Presidência da República,2016-05-12,2026-09-10,"Arts1-7,17II,18; footer","MP726 takes effect2016-05-12, immediately for cargo transformations/extinctions; organ structure changes have separate effective clauses. Revokes MP717.",direct,,,opened_or_indexed_primary_source
OFF-013,Temer qualifying offices,2017 law explicitly lists MDIC and Segov minister status; present source allowlist omits both despite retained raw person rows.,2017-11-03/2019-01-01,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/lei/l13502.htm,Lei13.502/2017,Presidência da República,2017-11-03,2026-09-10,"Arts21,22; antecedent MP726/2016 and MP782/2017",2017 law explicitly lists MDIC and Segov minister status; present source allowlist omits both despite retained raw person rows.,direct,,,opened_or_indexed_primary_source
OFF-014,Temer Direitos Humanos; Secretaria-Geral,MP768 creates/re-establishes these ministerial posts; legal creation is distinct from first occupants February3.,2017-02-03,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/mpv/mpv768.htm,MP768/2017,Presidência da República,2017-02-03,2026-09-10,Creation and cargo transformation articles; footer,MP768 creates/re-establishes these ministerial posts; legal creation is distinct from first occupants February3.,direct,,,opened_or_indexed_primary_source
