discrepancy_id,person,office,party,affected_interval,source_record_ids,existing_assignment,proposed_contemporaneous_treatment,evidence_ids,composition_effect,problem_type,unresolved_evidence_or_decision,coverage_start,coverage_end_exclusive,composition_completeness
OCC-001,Marcos Pereira,MDIC,PRB source candidate,2016-05-12/2018-01-04,michel_temer:0:26,The whole office is absent from the allowlist; the pinned PRB row is dropped.,Add actual MDIC service with effective endpoints and dated PRB affiliation.,OFF-003;OFF-012;OFF-013,Possible additional PRB representation through the missing office.,office_scope;occupancy,Entry and exit acts; search for affiliation changes during service.,2015-01-01,2026-03-20,not_certified
OCC-002,Marcos Jorge de Lima,MDIC,PRB documented 2018-04-10,2018-01-03/2019-01-01,michel_temer:0:27,The office is absent; the pinned row starts January 4.,Add vacancy acting service followed by any titular appointment. A capacity change alone need not change the party set.,OFF-013;OFF-018;OFF-049,PRB membership witness on April 10 is missing from both retained sets; full tenure not certified.,office_scope;occupancy;date_semantics,Resolve January 3 versus 4 and titular conversion; check affiliation continuity.,2015-01-01,2026-03-20,not_certified
OCC-003,Geddel Vieira Lima,Secretaria de Governo,,2016-05-12/2016-11-26,michel_temer:0:50,The Segov office is absent from the allowlist and this person is dropped.,Add qualifying service; keep occupancy gaps unresolved until acting or vacancy evidence is found.,OFF-003;OFF-012;OFF-013,Aggregate effect not certified; the source party may also have other representatives.,office_scope;occupancy,Full tenure and formal affiliation checks.,2015-01-01,2026-03-20,not_certified
OCC-004,Antônio Imbassahy,Secretaria de Governo,,2017-02-03/2017-12-16,michel_temer:0:51,The Segov office is absent from the allowlist and this person is dropped.,Add qualifying service; keep occupancy gaps unresolved until acting or vacancy evidence is found.,OFF-003;OFF-012;OFF-013,Aggregate effect not certified; the source party may also have other representatives.,office_scope;occupancy,Full tenure and formal affiliation checks.,2015-01-01,2026-03-20,not_certified
OCC-005,Carlos Marun,Secretaria de Governo,,2017-12-15/2018-12-29,michel_temer:0:52,The Segov office is absent from the allowlist and this person is dropped.,Add qualifying service; keep occupancy gaps unresolved until acting or vacancy evidence is found.,OFF-003;OFF-012;OFF-013,Aggregate effect not certified; the source party may also have other representatives.,office_scope;occupancy,Full tenure and formal affiliation checks.,2015-01-01,2026-03-20,not_certified
OCC-006,Edson Duarte,Meio Ambiente,PV,2018-04/2019-01,michel_temer:0:39,"Blank raw office cell causes omission; source end is December 31, 2019.",Add acting service during vacancy and any later titular capacity; resolve final date from evidence.,OFF-015;OFF-016;OFF-017,"PV witness on November 21, 2018 is absent from both retained sets; earlier boundary uncertain.",occupancy;office_scope;date_semantics,Exact first and last service days; do not back-project November affiliation without supporting continuity evidence.,2015-01-01,2026-03-20,not_certified
OCC-007,Joaquim de Lima Oliveira,Secretaria-Geral,,2018-04/2018-05,michel_temer:0:54,Pinned interim row has no dates and is omitted.,Retain an unresolved occupancy candidate between Moreira Franco and Ronaldo Fonseca.,OFF-002,Unknown occupancy and affiliation can affect composition.,occupancy;missing_evidence,Management roster and designation/end acts.,2015-01-01,2026-03-20,not_certified
OCC-008,Cristiane Brasil,Trabalho,PTB source label,2018-01/2018-02,michel_temer:0:58,Excluded; the pinned row says she did not assume office.,"Retain nomination and court events, with no service spell unless entry evidence exists.",OFF-002,No membership from this candidate non-entry; the actual vacancy holder still matters.,occupancy,Recheck cancellation and Helton Yomura acting service.,2015-01-01,2026-03-20,not_certified
OCC-009,Onyx Lorenzoni,Ministro extraordinário da transição,DEM in source; continuity pending,2018-11-05/2019-01-01,michel_temer:0:68,Office dropped despite statutory Minister of State designation.,Include actual extraordinary minister service and retain transition purpose as metadata.,OFF-031;OFF-032;OFF-033,Possible DEM witness; determine whether other qualifying DEM witnesses make it redundant.,office_scope;occupancy,Termination act and affiliation continuity; no exemption for transition purpose is needed under the primary rule.,2015-01-01,2026-03-20,not_certified
OCC-010,Geraldo Alckmin,Coordenação da transição CETG-VII,PSB,2022-11-04/2023-01-01,jair_bolsonaro:0:67,Dropped; Wikipedia labels the role ministerial and gives November 1.,Exclude the CETG role under the legal Minister of State criterion; retain the rejected source candidate.,OFF-031;OFF-034,No PSB contribution through this transition role under the primary rule.,office_scope,Pin original CETG appointment and exact TCU decision identifier. It is a different legal office from Onyx in 2018.,2015-01-01,2026-03-20,not_certified
OCC-011,Onyx Lorenzoni,Trabalho e Previdência,DEM;UNIÃO;PL source alternatives,2021-07-28/2022-03-31,jair_bolsonaro:0:6,"Omitted source row incorrectly starts January 1, 2019.","Add actual service in the ministry created in 2021; document DEM, UNIÃO and PL events only where supported.",OFF-023;OFF-024,Potential first or last party witness; freezing DEM would be invalid.,office_scope;occupancy;date_semantics,Possession and departure records; personal switching and organizational events during tenure.,2015-01-01,2026-03-20,not_certified
OCC-012,José Carlos Oliveira,Trabalho e Previdência,,2022-03-31/2023-01-01,jair_bolsonaro:0:7,Omitted from the selected inventory.,"Add qualifying officeholding beginning with the documented March 31, 2022 appointment and possession.",OFF-023;OFF-025,Unknown affiliation can add a party.,office_scope;occupancy,"Dated affiliation or explicit nonaffiliation, with in-tenure change search.",2015-01-01,2026-03-20,not_certified
