source_id,source_type,source_url_or_path,observed_fact,adjudicated_implication
IVF01,official institutional history,https://www.gov.br/secretariageral/pt-br/centrais-de-conteudo/biblioteca-da-pr/galeria-dos-ex-presidentes/michel-miguel-elias-temer-lulia/orgaos-presidencia-da-republica-michel-temer/%40%40download/file/orgaos-pr-0901.pdf,Ivani dos Santos identified as substitute; born Anapolis GO 1952,Identity and substitution designation; no personal affiliation
IVF02,official employment record,https://imagem.camara.leg.br/Imagem/d/pdf/DCD25NOV1992.pdf,Employee1920 appointed PMDB chief of cabinet in November1992,Parliamentary employment; not proof of membership
IVF03,official employment record,https://www.camara.leg.br/boletimadm/2013/Ba20130226.pdf,Employee1920 appointed PMDB leader chief of cabinet effective2013-02-18,Parliamentary employment; not proof of membership
IVF04,contemporary reporting,https://exame.com/colunistas/brasilia-pauta/pressionado-por-psdb-temer-fara-faxina-na-secretaria-do-governo/,Ivany serving in vacant Secretaria; PMDB wishes to retain staff,Sponsorship and employment only; no explicit affiliation
IVF05,contemporary reporting,https://istoe.com.br/ex-ministro-mantem-influencia-na-gestao-temer,Ivani career through Geddel offices and PMDB leadership,Same officeholder identity; employment only
IVF06,contemporary reporting,https://www.gazetadopovo.com.br/vida-publica/pmdb-pressiona-temer-por-mais-espaco-no-governo-0xsqob3nch2hv1140chp1s94r/,PMDB seeks retention of strategic staff including Ivani,Party sponsorship; no explicit personal affiliation
IVF07,contemporary reporting,https://exame.com/brasil/marun-comeca-transicao-de-secretaria-e-ja-recebe-deputados,Marun expected to retain Ivani and Sobral,Party-associated staff; no personal affiliation stated
IVF08,contemporary reporting,https://www.bnews.com.br/noticias/politica/193539-marun-diz-que-mantera-aliados-de-geddel-e-cunha-na-secretaria-de-governo.html,Marun retains trusted staff from PMDB parliamentary leadership,Trust and employment; no personal affiliation stated
IVF09,contemporary reporting,https://www.diariodepernambuco.com.br/noticia/politica/2018/05/governo-nomeia-novo-secretario-executivo-para-pasta-de-marun.html,May2018 executive-secretary replacement and prospective women-secretariat appointment,Executive service change; no personal affiliation
IVF10,official party-account annex,https://www.tse.jus.br/internet/prestacao_contas/partidos/2014/PMDB/prestacao-contas-261-34/TSE-prestacao-contas-261-34-anexo-15.pdf,Ivani signs a parliamentary-leadership printer cartridge requisition,Not a member list or personal dues payment
IVF11,official party-account annex,https://www.tse.jus.br/internet/prestacao_contas/partidos/2011/pps/PC-269-16/anexo-4.pdf,Same name appears in PPS dues context but personal identifier differs,Homonym rejected; no affiliation assertion for minister
IVF12,official party-account annex,https://www.tse.jus.br/internet/prestacao_contas/partidos/2015/PMDB/prestacao-contas-173-59/TSE-prestacao-contas-173-59-anexo-40.pdf,Ivany Guilherme dos Santos appears in party-women context,Different full name; no identity link established
IVF13,official parliamentary speech,https://imagem.camara.gov.br/Imagem/d/pdf/DCD0020160519000780000.PDF,Ronaldo Benedet praises Ivani as a woman appointed by Temer,No personal affiliation label
IVF14,raw compiled roster,atlas/7010-261partidogabineteministerio.csv,No Ivani or Ivany row anywhere in source,Omission is not non-affiliation
IVF15,pinned compiled roster,cabinet_dataset/research/completion/prior/scraping/data/wikipedia_pinned/michel_temer_71604023.json,Secretaria succession rows Geddel Imbassahy Marun omit Ivani,Omission is not non-affiliation
IVF16,current compiled roster,https://pt.wikipedia.org/wiki/Secretaria_de_Governo_do_Brasil,Minister list omits Ivani between Geddel and Imbassahy,Omission is not non-affiliation
IVF17,official current affiliation registry,https://filia2-consulta.tse.jus.br/filia-consulta/rest/v1/relacao-filiados,No exact-name match across39parties each in Anapolis and Goiania;123748records;78successfulqueries,Current-list absence is not evidence of non-affiliation in2016-17; see saved per-querylogs
IVF18,historical secondary affiliation snapshot,https://www.brasil.io/dataset/eleicoes-brasil/filiados/,2018-04-27 historical snapshot described; actual filtered/download data inaccessible withoutlogin,Potential source not examined at recordlevel; cannot infer absence
