case_id,person_or_issue,atlas_csv_rows,atlas_record_summary,audit_evidence_ids,proposed_treatment,composition_implication,resolution_status,additional_source
R01,Cid Gomes,504,Dilma 2: Educação; minister_party=PROS; portfolio_party=ind; 01/01/2015 to 18/03/2015,prior_evidence_assertions.csv; office_audit/pinned_source_rows.csv,"Include PROS while Cid Gomes actually holds Education in early 2015; establish the effective departure date, not just the reported last date.",PROS belongs in the initial Dilma II set; removal produces a composition change if he is the last witness.,membership_supported; boundary_requires_adjudication,
R02,George Hilton,529,Dilma 2: Esporte; minister_party=PRB; portfolio_party=PRB; 01/01/2015 to 30/03/2016,AFF-001,Split PRB and PROS affiliation at the documented 18 March 2016 switch; do not retain PRB to ministerial departure.,"Replace PRB with PROS while Hilton remains in office, conditional on no other witness; later remove PROS.",affiliation_change_supported; service_end_disputed,https://exame.com/brasil/hilton-troca-o-prb-pelo-pros-para-nao-perder-ministerio/
R03,"Gilberto Occhi, Dilma II",518,Dilma 2: Integração Nacional; minister_party=PP; portfolio_party=PP; 01/01/2015 to 13/04/2016,office_audit/occupancy_discrepancies.csv,"Reconcile resignation announcement, effective dismissal, and Atlas end date. Do not choose the old April 14 boundary to preserve the inversion.",Last PP witness may determine the start of a short April 2016 composition.,effective_boundary_unresolved,
R04,"Gilberto Kassab, Dilma II",532,Dilma 2: Cidades; minister_party=PSD; portfolio_party=PSD; 01/01/2015 to 19/04/2016,office_audit/occupancy_discrepancies.csv,Resolve Atlas April 19 versus the earlier source-based April 15/16 boundary against effective service.,Last PSD witness controls the end of the proposed short April 2016 composition.,effective_boundary_unresolved,
R05,Maurício Quintella,568,"Temer: Transportes, Portos e Aviação Civil; minister_party=PR; portfolio_party=PR; 12/05/2016 to 02/04/2018",AFF-008; LEG record for Quintella; CODE-04,Restore PR during documented service. The parser must not interpret PR as the state of Paraná.,"Corrects omitted PR representation in Temer, independently of the temporal affiliation rule.",party_supported; fine_grained_service_requires_screen,
R06,Ronaldo Nogueira / Helton Yomura,573;574,Temer: Trabalho; minister_party=PTB; portfolio_party=PTB; 12/05/2016 to 29/12/2017 | Temer: Trabalho; minister_party=PTB; portfolio_party=PTB; 29/12/2017 to 05/07/2018,AFF-009; office_audit/occupancy_discrepancies.csv,"Include PTB through both affiliated incumbents, including a genuine acting vacancy-holder; adjudicate the December 2017 succession boundary.",Do not remove PTB permanently when Nogueira leaves; a possible brief boundary gap remains to resolve.,party_supported; succession_dates_unresolved,
R07,Marcos Pereira / Marcos Jorge,578;579,"Temer: Indústria, Comércio Exterior e Serviços; minister_party=PRB; portfolio_party=PRB; 12/05/2016 to 05/01/2018 | Temer: Indústria, Comércio Exterior e Serviços; minister_party=PRB; portfolio_party=PRB; 05/01/2018 to 31/12/2018",OFF-049; OFF-050,Restore the omitted MDIC office and both PRB incumbents. Reconcile January 2018 source dates.,PRB is represented in Temer; a one-source missing office cannot justify excluding it.,party_supported; succession_dates_unresolved,
R08,Sarney Filho / Edson Duarte,589;590,Temer: Meio Ambiente; minister_party=PV; portfolio_party=ind; 12/05/2016 to 06/04/2018 | Temer: Meio Ambiente; minister_party=PV; portfolio_party=ind; 06/04/2018 to 31/12/2018,OFF-015; OFF-017,Retain PV across the April 2018 replacement once effective dates are resolved; add omitted Edson Duarte.,PV does not permanently leave with Sarney Filho.,party_supported; succession_date_semantics_require_adjudication,
R09,Henrique Meirelles,566,Temer: Fazenda ; minister_party=PSDB; portfolio_party=ind; 12/05/2016 to 06/04/2018,AFF-003; prior_evidence_assertions.csv,"Use PSD on entry and documented MDB affiliation from April 3, 2018. Reject Atlas's PSDB assignment.",Normally composition-neutral because other ministers represent PSD and PMDB/MDB.,atlas_label_contradicted,
R10,Fernando Coelho Filho,581;582,Temer: Minas e Energia; minister_party=PSB; portfolio_party=PSB; 12/05/2016 to 21/05/2017 | Temer: Minas e Energia; minister_party=PSB; portfolio_party=ind; 22/05/2017 to 06/04/2018,LEG-2f8bf5705498,"Do not extend entry-date PSB membership through April 2018. Official Chamber biography records a February 22, 2018 notice of PSB-to-no-party change and later DEM membership; recover event dates. Audit each parliamentary return as a potential break in ministerial service.",PSB can disappear before April 2018 and during genuine service interruptions if no other witness remains.,new_external_contradiction; transition_and_capacity_adjudication_needed,https://www.camara.leg.br/deputados/141431/biografia
